樣品編號,食品分類,樣品名稱,修正熱量(kcal),水分(g),粗蛋白(g),粗脂肪(g),總碳水化合物(g),膳食纖維(g),鈉(mg),鉀(mg),鈣(mg),鎂(mg),鐵(mg),鋅(mg),維生素A總量(IU),維生素E總量(mg),維生素B1(mg),維生素B2(mg),菸鹼素(mg),維生素B6(mg),維生素C(mg)
A0100101,穀物類,大麥仁,343,12.3,8.9,1.6,76.1,8.9,14,229,26,49,1.6,1.2,0,1.11,0.16,0.04,3.31,0.22,0.2
A0110101,穀物類,大麥片,352,12.1,8.6,1.8,76.7,6.0,7,246,13,55,2.2,0.8,0,0.26,0.15,0.04,3.23,0.18,9.8
A0120101,穀物類,大麥仁粉,374,5.7,7.1,1.3,85.0,7.2,10,307,25,50,1.1,1.3,0,0.12,0.09,0.03,2.85,0.23,0.0
A0130101,穀物類,麥茶,18,95.5,0,0,4.4,0,18,9,1,1,0.1,0,0,0,0,0.01,0.08,0.01,0
A0200101,穀物類,小米,365,12.3,11.3,3.7,71.7,2.2,1,202,5,108,2.9,2.3,0,1.45,0.46,0.11,4.15,0.32,0.2
A0200201,穀物類,糯小米,357,12.9,12.5,1.5,72.5,1.4,1,142,9,48,2.2,2.0,96,0.58,0.17,0.06,2.17,0.19,0.5
A0300101,穀物類,小麥,338,12.6,14.1,2.6,69.2,11.3,1,364,19,137,3.4,3.0,0,3.50,0.41,0.10,5.39,0.27,5.1
A0310101,穀物類,小麥胚芽,396,4.2,31.4,11.6,47.9,10,3,986,45,333,6.0,14.9,29,19.13,2.44,0.52,4.02,1.40,0.0
A0320101,穀物類,去筋麵粉,354,13.6,0.2,0.1,85.7,0.4,29,9,7,2,0,0,0,0.04,0.01,0,0.10,0.02,0.0
A0320202,穀物類,低筋麵粉,359,12.0,8.1,1.2,78.2,2.0,1,148,12,26,1.2,0.6,0,1.01,0.17,0.04,0.88,0.07,5.1
A0320303,穀物類,中筋麵粉,357,12.6,11.5,1.3,74.1,1.8,4,125,12,29,0.9,0.7,0,0.85,0.12,0.08,1.01,0.08,5.1
A0320404,穀物類,高筋麵粉,358,12.3,12.9,1.2,73.1,1.9,1,108,11,33,1.2,0.9,0,0.71,0.12,0.03,1.13,0.07,5.0
A0320505,穀物類,全麥麵粉,342,12.7,13.0,1.7,71.4,8.0,2,277,23,97,3.4,2.3,0,2.51,0.33,0.07,4.09,0.24,7.1
A0320601,穀物類,雜糧中筋麵粉,350,11.7,13.1,2.3,72.0,5.7,2,207,24,52,1.8,1.7,0,2.00,0.34,0.08,2.23,0.08,2.9
A0320702,穀物類,雜糧高筋麵粉,350,12.4,14.3,2.8,69.6,5.3,2,218,24,65,1.9,1.7,2,2.26,0.33,0.04,2.63,0.12,9.5
A0350101,穀物類,水餃皮,261,33.0,7.8,0.5,57.0,1.5,629,65,13,16,0.6,0.3,0,0.08,0.05,0.02,0.53,0.05,0.0
A0350201,穀物類,春捲皮,237,38.9,8.3,0.7,50.4,2.0,545,75,16,20,0.7,0.4,0,0.09,0.09,0.02,0.58,0,0.0
A0350301,穀物類,餛飩皮,268,31.4,8.3,0.5,58.2,1.5,501,77,15,19,0.6,0.4,0,0.03,0.07,0.02,0.51,0,0.0
A0351101,穀物類,乾麵條,353,10.8,11.5,1.4,74.6,1.9,569,101,649,28,0.8,0.8,0,0.36,0.11,0.03,0.92,0.05,0.0
A0351201,穀物類,油麵條,359,9.0,11.4,1.2,76.3,1.1,712,91,16,22,0.8,0.7,47,0.27,0.07,0.02,0.66,0.05,0.0
A0351301,穀物類,紅蘿蔔麵,347,12.0,12.1,1.0,73.8,2.5,368,123,5,29,1.1,0.7,68,2.65,0.12,0.02,1.08,0.09,8.1
A0351401,穀物類,通心麵,355,11.5,13.8,1.4,72.6,1.8,25,171,12,44,1.5,0.8,0,0.87,0.14,0.05,1.69,0.15,5.9
A0351501,穀物類,菠菜條,351,11.5,11.8,1.2,74.4,2.5,310,130,4,29,1.0,0.7,23,0.08,0.11,0.02,0.95,0.12,8.0
A0351601,穀物類,鍋燒意麵,473,5.8,10,22.8,58.5,3.0,990,122,7,40,1.0,0.9,0,8.57,0.13,0.02,1.37,0.16,11.1
A0351701,穀物類,雞蛋麵,352,10.4,12.5,0.9,74.8,2.8,467,132,5,32,1.7,0.7,0,0.15,0.14,0.05,1.43,0.11,7.2
A0351801,穀物類,刀削麵,265,33.5,8.4,0.9,56.2,1.0,226,73,2,17,0.5,0.4,0,0.57,0.05,0.02,0.82,0.23,8.7
A0351901,穀物類,拉麵,290,26.6,9.1,0.8,62.1,1.3,429,77,9,15,0.5,0.6,0,0.29,0.05,0.02,0.69,0.04,0.0
A0352001,穀物類,意麵,281,26.8,10.1,1.0,60.1,4.5,572,250,10,22,1.1,0.8,0,0.39,0.02,0.69,1.16,0.06,0.0
A0352101,穀物類,衛生油麵,162,61.2,5.5,1.8,31.2,0.6,67,49,12,12,0.4,0.3,3,3.92,0.01,0.01,0.41,0.02,0.0
A0352201,穀物類,金門黃麵,153,60.1,6.4,0.5,31.9,2.3,326,28,6,14,1.0,0.4,0,0.47,0.02,0.01,1.12,0.02,0.0
